key,freq,freq_pct
日,712,2.329233185030097
進撃,644,2.1067783302800316
巨人,605,1.9791939282910234
お,599,1.9595655587542529
プレゼント,511,1.6716828055482857
KOF,340,1.112274273750327
マガ,330,1.0795603245223764
ご,329,1.0762889295995812
SNKRS,305,0.9977754514524994
発売,300,0.9814184768385239
jp,283,0.9258047631510076
月号,283,0.9258047631510076
NAOTO,254,0.8309343103899502
4月,245,0.8014917560847945
Nike,230,0.7524208322428684
楽しみ,215,0.7033499084009421
カード,212,0.6935357236325569
ポスト,211,0.6902643287097618
さん,196,0.6411934048678356
キャンペーン,190,0.6215650353310652
こと,187,0.61175085056268
モノカブアプリ,184,0.6019366657942947
DL,184,0.6019366657942947
一緒,180,0.5888510861031143
付録,174,0.5692227165663439
クリア,173,0.5659513216435488
会議,173,0.5659513216435488
ファイル,170,0.5561371368751635
全員,170,0.5561371368751635
応募者,168,0.5495943470295734
紙版,168,0.5495943470295734
新作,148,0.4841664485736718
内容,143,0.4678094739596964
🟡,140,0.45799528919131116
様,108,0.35331065166186865
気,104,0.3402250719706883
シェルミー,101,0.33041088720230305
夏,95,0.3107825176655326
XV,94,0.3075111227427375
Air,93,0.3042397278199424
EXILE,92,0.30096833289714736
配本,92,0.30096833289714736
カラー,89,0.2911541481287621
週,87,0.28461135828317197
atmos,86,0.28133996336037687
カルト,85,0.27806856843758176
的人,85,0.27806856843758176
AJ1,85,0.27806856843758176
先駆,85,0.27806856843758176
Shingeki,84,0.2747971735147867
最終回,84,0.2747971735147867
完結,83,0.2715257785919916
交換,81,0.26498298874640147
目,77,0.2518974090552211
枚,74,0.2420832242868359
作品,72,0.23554043444124576
NIKE,68,0.22245485475006543
本日,68,0.22245485475006543
年,65,0.21264066998168019
シリーズ,64,0.2093692750588851
最新,63,0.20609788013609004
人気,63,0.20609788013609004
中,60,0.1962836953677048
大人,60,0.1962836953677048
記念,59,0.19301230044490972
予定,57,0.18646951059931954
エレン,57,0.18646951059931954
モデル,57,0.18646951059931954
ぃっち,57,0.18646951059931954
ダイロ,57,0.18646951059931954
クセンス,57,0.18646951059931954
ちゃん,56,0.18319811567652447
Dunk,56,0.18319811567652447
キャラクタートレーラー,56,0.18319811567652447
物語,55,0.1799267207537294
方,55,0.1799267207537294
人,55,0.1799267207537294
っぽさ,55,0.1799267207537294
全開,55,0.1799267207537294
登場❗️,55,0.1799267207537294
ウィメンズ,55,0.1799267207537294
発売🪞,55,0.1799267207537294
申し訳,54,0.17665532583093432
求,54,0.17665532583093432
コラボ,53,0.17338393090813922
譲,53,0.17338393090813922
木,51,0.16684114106254908
店,51,0.16684114106254908
︎,51,0.16684114106254908
氏,49,0.1602983512169589
読者,49,0.1602983512169589
マ,48,0.15702695629416383
以降,48,0.15702695629416383
〜,48,0.15702695629416383
永遠,47,0.15375556137136875
最終話,47,0.15375556137136875
フラー,47,0.15375556137136875
書店,47,0.15375556137136875
普段,47,0.15375556137136875
状況,47,0.15375556137136875
丘,46,0.15048416644857368
読了,46,0.15048416644857368
完売,46,0.15048416644857368
愛読,46,0.15048416644857368
迷惑,46,0.15048416644857368
そのような,46,0.15048416644857368
緊急重版,46,0.15048416644857368
コンビニ,46,0.15048416644857368
願い,45,0.14721277152577858
トレーラー,45,0.14721277152577858
号,44,0.1439413766029835
話,44,0.1439413766029835
巨人明日,43,0.14066998168018843
Cynthia,43,0.14066998168018843
Lu,43,0.14066998168018843
CPFM,43,0.14066998168018843
Cactus,43,0.14066998168018843
Plant,43,0.14066998168018843
Flea,43,0.14066998168018843
Market,43,0.14066998168018843
発売🔥,43,0.14066998168018843
今日,43,0.14066998168018843
マガジン,43,0.14066998168018843
気持ち,43,0.14066998168018843
-,42,0.13739858675739336
（水,42,0.13739858675739336
週刊少年,42,0.13739858675739336
マガ読者,42,0.13739858675739336
4K,42,0.13739858675739336
健二郎,41,0.13412719183459829
明日,41,0.13412719183459829
ぜ,40,0.13085579691180318
月,39,0.1275844019890081
おめ,39,0.1275844019890081
円,38,0.12431300706621304
山下,38,0.12431300706621304
参戦,38,0.12431300706621304
後,37,0.12104161214341795
舞,37,0.12104161214341795
描こ,36,0.11777021722062288
絵,36,0.11777021722062288
格ゲーキャラ,35,0.11449882229782779
居酒屋,35,0.11449882229782779
️,35,0.11449882229782779
最高,34,0.11122742737503272
あと,34,0.11122742737503272
画像,34,0.11122742737503272
t,34,0.11122742737503272
to,33,0.10795603245223763
三代目,33,0.10795603245223763
コメント,33,0.10795603245223763
岩田,32,0.10468463752944256
開発者,32,0.10468463752944256
もの,31,0.10141324260664747
今,31,0.10141324260664747
岩田剛典,31,0.10141324260664747
今市,31,0.10141324260664747
登坂広臣,31,0.10141324260664747
CV,31,0.10141324260664747
公開,30,0.0981418476838524
前,30,0.0981418476838524
剛典,30,0.0981418476838524
クーポン,29,0.09487045276105731
YouTube,29,0.09487045276105731
版,29,0.09487045276105731
オンライン,29,0.09487045276105731
時,29,0.09487045276105731
HEY,28,0.09159905783826224
リプ,28,0.09159905783826224
誕生日,28,0.09159905783826224
AKIRA,27,0.08832766291546716
イラスト,26,0.08505626799267207
ELLY,26,0.08505626799267207
隆二,26,0.08505626799267207
最,26,0.08505626799267207
w,25,0.081784873069877
直己,25,0.081784873069877
電話,25,0.081784873069877
希望,25,0.081784873069877
回,25,0.081784873069877
no,24,0.07851347814708191
ミカサ,24,0.07851347814708191
幸せ,24,0.07851347814708191
小林,24,0.07851347814708191
キング,24,0.07851347814708191
捏造,23,0.07524208322428684
達,23,0.07524208322428684
Happy,23,0.07524208322428684
