text,created_at
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Wed Apr 14 01:04:37 +0000 2021
"モテない奴らの不憫な挑戦 | https://t.co/rpaKWEP6lP

あらすじ
本編とは全く別物で巨人の居ない平和な世界。その世界の自由の翼高校に入学したエレン達。入学早々ハーレムを発揮したエレンにライナー達が出した挑戦状とは…？",Tue Apr 20 15:08:48 +0000 2021
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Wed Apr 14 03:19:05 +0000 2021
"RT @anime_shingeki: 進撃の巨人×森永パキシエルキャンペーン
4月上旬より進撃の巨人コラボパッケージが発売！

アイスの棒に巨人が出たらオリジナルQUOカードが必ずもらえる
「当たり調査兵団キャンペーン」実施中！！

応募締切は6/30まで！

#shinge…",Mon Apr 05 14:10:22 +0000 2021
"RT @manabu18go: おそらく全国の阪神ファンがこんな状態

阪神が巨人も倒して8連勝‼️貯金12

https://t.co/jNGSRwheMs https://t.co/7URnVXqCMH",Tue Apr 20 15:47:13 +0000 2021
RT @issuikai_jp: ４月１７日(土)「対米自立を考える地方議員の会設立集会」が開催される。日米地位協定の理不尽を解消させるための全ての提起をしていきたい。全国各地で何が起きているかの報告がなされる。超党派で実質的な政治を変え得る勢力の創出、そして対米自立への進撃開…,Mon Apr 19 00:42:39 +0000 2021
RT @uma_Reiner: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も | ORICON NEWS https://t.co/EZZhQHAjII https://t.co/2ndvu8bZhh,Sun Apr 18 23:27:57 +0000 2021
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Thu Apr 15 04:48:06 +0000 2021
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Wed Apr 14 13:41:39 +0000 2021
"RT @tacoco22: 今回の提案に対して絡まれてもいますが。。賛同をたくさんいただいています❗️

巨人は複数年契約で小林選手の自由を拘束した上で、冷遇しています

なので皆さんと一緒に声をあげて、メディアの目にとまれば。。と思っています
実際、メディアからも「おかしい」…",Mon Apr 12 13:28:32 +0000 2021
RT @mayu_t0m0: 進撃の巨人の署名活動、賛同者がこんなにいる事に驚きです。まず作品は正規の方法で読んで下さい。それに進撃は先生が妥協せずに書き上げた作品です。結末に対する感じ方は自由だけどその自由を他に強要しないで下さい。読者が作品に干渉しては本当に先生が伝えたかっ…,Mon Apr 12 14:48:28 +0000 2021
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Wed Apr 14 13:46:13 +0000 2021
"だいぶ打線の調子も上がってきたかな👍

👊👊👊👊👊👊👊👊👊👊👊

#巨人ファン",Sun Apr 18 00:40:52 +0000 2021
"RT @superOCreeta931: その巨人はいついかなる時代においても
自由を求めて進み続けた
自由のために戦った
名は

進撃の巨人 https://t.co/YdTc5zBxKW",Sat Apr 10 13:45:15 +0000 2021
"RT @shingeki__kun: 日本のアニメの歴史を変えたスゴいアニメ

アクション作画

｢進撃の巨人｣  伝説の1カット18秒 https://t.co/ikjJq9D31l",Wed Apr 14 01:23:32 +0000 2021
RT @mainichi: 東京ドームなどを爆破するとのメールを送ったとして、43歳容疑者が逮捕されました。ソフトバンクのファンで「一番盛り上がる日本シリーズで巨人が簡単に負けてしまうのがつまらなかった」と供述しているとのことです。https://t.co/CDfaibP1Yw,Thu Apr 15 10:07:00 +0000 2021
@livedoornews これ巨人ファンの可能性あるな。,Thu Apr 15 10:08:14 +0000 2021
"日テレの中継面白そう
巨人も中日もファンじゃないけど見ちゃう",Thu Apr 15 10:09:20 +0000 2021
"RT @livedoornews: 【容疑認める】東京ドーム爆破予告容疑、SBファンの男逮捕
https://t.co/Y71BmoyVtI

男はソフトバンクファンで、「一番盛り上がる日本シリーズで巨人が簡単に負けてしまうのがつまらなかった」「怒りに任せて送ってしまった」など…",Thu Apr 15 10:09:30 +0000 2021
RT @uma_Reiner: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も | ORICON NEWS https://t.co/EZZhQHAjII https://t.co/2ndvu8bZhh,Mon Apr 19 01:14:47 +0000 2021
"当たりますように！
阪神競馬場 #戦え天皇賞春の栄冠を奪え

天皇賞(春)の栄冠をかけた #進撃の巨人
調査兵団⚔マーレ軍との戦い、見事敵を駆逐！抽選で10名様に2021年天皇賞(春)の為だけにデザインした新立体機動装置リュックを… https://t.co/nK5m4pe6FP",Mon Apr 19 05:01:32 +0000 2021
"RT @ryo_kamio: ロスチャイルド家、世界支配までの流れと裏話【都市伝説ではなく歴史】マイアーアムシェルロートシルトと5人の息子と進撃の巨人の街　【神王ＴＶ】

→　https://t.co/yT6LTd3cG1

#ロスチャイルド
#進撃の巨人
#歴史 https:…",Tue Apr 13 18:06:53 +0000 2021
@9BzvCBk8gMa9af3 関東の人は巨人ファン多いよね🤔,Tue Apr 20 11:36:42 +0000 2021
"RT @exile_news__: 4月22日18:30〜
三代目J SOUL BROTHERS
メンバー会議

参加者 ファンの皆さん NAOTO
小林直己 ELLY 山下健二郎 岩田剛典
今市隆二 登坂広臣

Instagram YouTube CL

 #三代目メンバー会…",Tue Apr 20 11:38:20 +0000 2021
"RT @anime_shingeki: 進撃の巨人×森永パキシエルキャンペーン
4月上旬より進撃の巨人コラボパッケージが発売！

アイスの棒に巨人が出たらオリジナルQUOカードが必ずもらえる
「当たり調査兵団キャンペーン」実施中！！

応募締切は6/30まで！

#shinge…",Mon Apr 05 05:49:28 +0000 2021
"RT @oricon_anime_: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も（写真 全4枚）
https://t.co/w0Ou48jhLF

 #渋谷すばる #進撃の巨人 #shingeki @subaru_officia…",Fri Apr 16 13:40:44 +0000 2021
"RT @ntvnewszero: 今夜の #newszero
#プロ野球がちょっと好きになる話

巨人大好きの#ナイツ #塙宣之 さん
今回取り上げたのは球団最年長#亀井善行 選手
あの劇的なホームランについて熱弁
大の阪神ファンの #有働由美子 キャスターへの”口撃”も
そし…",Fri Apr 16 13:41:03 +0000 2021
"RT @livedoornews: 【9日完結】『進撃の巨人』担当編集者が語るヒットの理由「巻を追うごとに面白さの質が違ってくる」
https://t.co/AnskSmKdvh

初期はおぞましさやインパクト、その後はサスペンスや政治などの要素もあり、世の中のことをすべて描い…",Wed Apr 07 01:49:39 +0000 2021
RT @_stars_33: DB応援席に巨人ファンの方がいます、、、マスクも巨人ロゴのだし、巨人が得点すると喜んでるし、でもベイスターズのタオル首にかけてて、確信犯です、、、ルール守ろう、、、,Mon Apr 19 00:02:12 +0000 2021
RT @uma_Reiner: 天皇賞（春）×進撃の巨人がコラボ　調査兵団が阪神競馬場へ　渋谷すばる新曲書き下ろしSP動画も | ORICON NEWS https://t.co/EZZhQHAjII https://t.co/2ndvu8bZhh,Sun Apr 18 23:16:06 +0000 2021
"RT @jumandekirukana: #10万円でできるかな
4/12(月)3時間SP！

宮田さんだけでなく
キスマイメンバー内にも
ファンが多い進撃の巨人から
#梶裕貴 さん
#石川由依 さん

宮田さんの師匠
#浪川大輔 さん

宮田さんがプライベートで
ライブを見に…",Sat Apr 10 03:14:16 +0000 2021
"阪神競馬場 #戦え天皇賞春の栄冠を奪え

天皇賞(春)の栄冠をかけた #進撃の巨人
調査兵団⚔マーレ軍との戦い、見事敵を駆逐！抽選で10名様に2021年天皇賞(春)の為だけにデザインした新立体機動装置リュックをプレゼント🎁
 https://t.co/HYdecGC1mu",Mon Apr 19 08:06:34 +0000 2021
"RT @TIOffoa1Iny67ll: 韓国「進撃の巨人」を批判
韓国が「進撃の巨人」を""帝国主義の美化""と批判。本日発売の最終話に「私達のために虐殺者になってくれてありがとう」というセリフがあり、日本が""日本を戦犯と批判する国""に復讐することを肯定･称賛する内容だと指摘。…",Sat Apr 10 03:16:04 +0000 2021
